ID,Name,Concepticon_ID,Concepticon_Gloss,concepticon_proposed,semantic_field
WeltN,Welt::N,965,WORLD,WORLD,RELIGION
LandN,Land::N,1300,COUNTRY,COUNTRY,POLITICS
StaatN,Staat::N,2955,STATE (POLITICS),STATE_(POLITICS),POLITICS
KonigN,König::N,1508,KING,KING,POLITICS
MachtN,Macht::N,2526,POWER,POWER,POLITICS
GrenzeN,Grenze::N,2546,BORDER,BORDER,POLITICS
KriegN,Krieg::N,935,WAR,WAR,WARFARE
FeindN,Feind::N,1358,ENEMY,ENEMY,WARFARE
GewaltN,Gewalt::N,2976,VIOLENCE,VIOLENCE,WARFARE
KampfN,Kampf::N,,,FIGHT,WARFARE
BogenWaffeN,Bogen[Waffe]::N,994,BOW,BOW,WARFARE
PfeilN,Pfeil::N,977,ARROW,ARROW,WARFARE
GewehrN,Gewehr::N,1566,GUN,GUN,WARFARE
FehlerN,Fehler::N,1293,MISTAKE,MISTAKE,NEGATIVE INTERACTION
LugeN,Lüge::N,475,UNTRUTH,UNTRUTH,NEGATIVE INTERACTION
SchadenN,Schaden::N,2947,DAMAGE (INJURY),DAMAGE_(HARM),NEGATIVE INTERACTION
UngluckN,Unglück::N,56,BAD LUCK,BAD LUCK,NEGATIVE INTERACTION
SchuldN,Schuld::N,134,FAULT,FAULT,NEGATIVE INTERACTION
AlterN,Alter::N,1789,AGE,AGE,TIME
SchlussN,Schluss::N,743,END (OF TIME),END_(OF_TIME),TIME
ZeitN,Zeit::N,892,TIME,TIME,TIME
TagN,Tag::N,1225,DAY (NOT NIGHT),DAY_(NOT_NIGHT),TIME
MorgenN,Morgen::N,1339,MORNING,MORNING,TIME
MittagN,Mittag::N,12,MIDDAY,MIDDAY,TIME
AbendN,Abend::N,1629,EVENING,EVENING,TIME
NachtN,Nacht::N,1233,NIGHT,NIGHT,TIME
WocheN,Woche::N,1469,WEEK,WEEK,TIME
MonatN,Monat::N,1370,MONTH,MONTH,TIME
JahrN,Jahr::N,1226,YEAR,YEAR,TIME
FruhlingN,Frühling::N,1537,SPRINGTIME,SPRINGTIME,TIME
SommerN,Sommer::N,1342,SUMMER,SUMMER,TIME
HerbstN,Herbst::N,1276,AUTUMN,AUTUMN,TIME
WinterN,Winter::N,1471,WINTER,WINTER,TIME
JanuarN,Januar::N,2036,JANUARY,JANUARY,CALENDAR
FebruarN,Februar::N,2037,FEBRUARY,FEBRUARY,CALENDAR
MarzN,März::N,2846,MARCH,MARCH,CALENDAR
AprilN,April::N,2847,APRIL,APRIL,CALENDAR
MaiN,Mai::N,2848,MAY (MONTH),MAY,CALENDAR
JuniN,Juni::N,2849,JUNE,JUNE,CALENDAR
JuliN,Juli::N,2850,JULY,JULY,CALENDAR
AugustN,August::N,2851,AUGUST,AUGUST,CALENDAR
SeptemberN,September::N,2852,SEPTEMBER,SEPTEMBER,CALENDAR
OktoberN,Oktober::N,2853,OCTOBER,OCTOBER,CALENDAR
NovemberN,November::N,2854,NOVEMBER,NOVEMBER,CALENDAR
DezemberN,Dezember::N,2855,DECEMBER,DECEMBER,CALENDAR
MontagN,Montag::N,1697,MONDAY,MONDAY,CALENDAR
DienstagN,Dienstag::N,1695,TUESDAY,TUESDAY,CALENDAR
MittwochN,Mittwoch::N,1694,WEDNESDAY,WEDNESDAY,CALENDAR
DonnerstagN,Donnerstag::N,1693,THURSDAY,THURSDAY,CALENDAR
FreitagN,Freitag::N,1692,FRIDAY,FRIDAY,CALENDAR
SamstagN,Samstag::N,1700,SATURDAY,SATURDAY,CALENDAR
